GA build Oct 15 2003 17:51:32
Log produced Wed Oct 15 17:59:57 2003
Command line:
/users/rsavage/cvs/GaitGen/bin/ga_socket -e config_file.txt -p workingParameterFile.txt -b workingGenome.txt -l workingPopulation.txt -o 0.0000/Run_2003-10-15_17.59.57
parameterFile	"workingParameterFile.txt"
logNotes
"Standard run configuration for gait_morph.pl controlled run using a starting population"
genomeLength	21
populationSize	49
parentsToKeep	20
immigrations	0
maxGenerations	1000
lowBound	-1
highBound	1
gaussianMutationChance	0.15
frameShiftMutationChance	0
duplicationMutationChance	0
crossoverChance	0.01
defaultGaussianSD	0.1
saveBestEvery	1
savePopEvery	100
randomSeed	635835087
parallelObjectives	1
improvementGenerations	100
improvementThreshold	0.1
removeDuplicates	1
multipleGaussian	1
normalStats	0
fitnessTimeLimit	1200
fitnessRestartOnError	1
steadyState	0
startingPopulation	"workingPopulation.txt"
extraDataFile	"workingConfigFile.txt"
genealogyFile	"genealogy.txt"
extraArguments	"--energyLimit 3000 --timeLimit 100 --numStartupPhases 0"
parentSelection	RouletteWheelSelection
crossoverType	Average
genomeType	IndividualRanges

Gen	0%	10%	20%	30%	40%	50%	60%	70%	80%	90%	100%
0	1.15604	1.28786	1.31408	1.43141	1.52897	2.79011	12.8278	15.7773	15.8148	16.0898	16.1811
1	1.22807	1.29146	1.36675	1.53491	2.15910	2.98244	12.8278	15.7752	15.8116	16.0675	16.1811
2	1.25540	1.28848	1.32405	1.44622	1.79299	2.32070	13.4946	15.7773	15.8116	16.0675	16.1811
3	1.29970	1.37048	1.48421	1.66716	2.71899	13.1230	15.7733	15.7820	15.8148	16.0675	16.1811
4	1.27972	1.31852	1.41608	1.48045	1.58616	2.95221	15.5659	15.7818	15.8116	16.0675	16.1811
5	1.28420	1.29910	1.35612	1.49043	2.15076	2.67452	15.5162	15.7818	15.8116	16.0675	16.1811
6	1.20403	1.29422	1.32102	1.53105	2.18299	13.5525	15.6942	15.7820	15.8148	16.0675	16.1811
7	1.21543	1.28247	1.39282	1.54829	2.10013	5.19674	15.7752	15.7956	15.8217	16.1375	16.1811
8	1.27950	1.28498	1.31406	1.40631	1.54498	2.94047	15.7733	15.7860	15.8148	16.0675	16.1811
